cod,denumire,cod_fiscal,analitic,tara,judet,localitate,adresa,cont_banca,banca,tel,email,grupa,reg_com,den_agent
23,MOL ROMANIA PETROLEUM PRODUCTS SRL,RO7745470,401.00023,RO,CJ,CLUJ-NAPOCA,"BLD. 21 DECEMBRIE 1989, NR. 77 ,CAMERA C.1.1. CLADIREA C-D THE OFFICE",,,264407600,,,J2000000729127,
24,UNIUNEA NATIONALA A TRANSPORTATORILOR RUTIERI DIN ROMANIA,RO2836143,401.00024,RO,B,BUCURESTI SECTOR 4,"STR. IENACHITA VACARESCU, NR. 60",,,,,,,
25,BRICOSTORE ROMANIA SA,14328360,401.00025,RO,B,BUCURESTI SECTOR 6,"CAL. GIULESTI, NR. 1-3",,,2140444111,,,J2001009990408,
26,CONEST SA,RO1959695,401.00026,RO,IS,IASI,"BLD. METALURGIEI, NR. 2",,,430670,,,J22/352/1991,
27,AUTO DOBRO S.R.L.,RO38667487,401.00027,RO,IS,DOBROVAT,",NR. CASA 972",,,740588441,,,J2018000023224,
28,EVOTRACKING SRL,RO24974708,401.00028,RO,PH,PLOIESTI,"STR. DILIGENTEI, NR. 18 ,CLADIREA C1",,,722504237,,,J2009000091296,
29,NICAI ANA-MARIA-MIHAELA INTREPRINDERE INDIVIDUALA,RO47534544,401.00029,RO,IS,SAT SCOBALTENI PODU ILOAIEI,NR. 147,,,,,,F2023000157224,
30,TURBO LIDER SRL,RO35118646,401.0003,RO,IS,MIROSLAVA,"STR. CARULUI, NR. 1 ,HALA C1. BIROU 1. NR. CADASTRAL 91774",,,,,,J2015001847226,
31,GREEN CAR SERVICE SRL,RO28900630,401.00031,RO,IS,TOMESTI,"STR. STUPINELOR, ,CLADIREA C1",,,,,,J22/1408/2011,
32,TRANS OIL MOTORS SRL,RO25873523,401.00032,RO,IS,RADUCANENI,",NUMAR CADASTRAL 60287, SPATIU COMERCIAL C1, BIROUL NR. 2",,,768073594,,,J22/1388/2009,
33,PIJEN I. ANA INTREPRINDERE INDIVIDUALA,32649333,401.00033,RO,IS,IASI,"STR. HATMAN SENDREA, NR. 9 ,TRONSON 2",,,747950375,,,F2014000040225,
34,CARBOTECH SRL,RO19284485,401.00034,RO,IS,IASI,"STR. ETERNITATE, NR. 35",RO07BACX0000000093870001,UNICREDIT BANK SA,232272630,financiar@carbotech.ro,,J2006002991227,
35,S.C. TRUTZI S.R.L.,RO17898144,401.00035,RO,SV,SCHEIA,"STR. ALEEA VAMII, NR. 26",,,230530515,suceava@trutzi.ro,,J2005001094331,
36,MOLDMETAL TRADING SRL,RO32709818,401.00036,RO,B,BUCURESTI SECTOR 1,"STR. VIRGIL MADGEARU, NR. 16C ,VILA 7",RO72BACX0000001466436000,UNICREDIT BANK SA,739919194,mirela.halauca@moldmetal.ro,,J2014000872402,
37,S.C. TRANSPARENT SRL,RO15929805,401.00037,RO,BH,ORADEA,"STR. LUCRETIA SUCIU, NR. 4",RO27BTRL00501202767467XX,BANCA TRANSILVANIA,744771551,,,J2003001538051,
38,INSTAL CONSTRUCT GENERAL SRL,RO16687025,401.00038,RO,IS,IASI,"STR. VASILE LUPU, NR. 160",,,232427827,,,J22/1712/2004,
39,ALIMONI TURISM S.R.L.,RO13121667,401.00039,RO,SV,CAMPULUNG MOLDOVENESC,"CALEA BUCOVINEI, NR. 148",RO76BTRL03401202R87003XX,Cont Banca Transilvania Campulung Moldovenesc in,230314733,,,J33/276/2000,
40,ALCIS S.R.L.,RO1969761,401.0004,RO,IS,IASI,"STR. LASCAR CATARGI, NR. 64",RO91TREZ4065069XXX002399,Trezorerie operativa Municipiul Iasi,217100,,,J22/410/1991,
41,M & C CHEI SERVICE SRL,RO17931011,401.00041,RO,B,BUCURESTI SECTOR 2,"STR. BADEA CARTAN, NR. 36 ,.",,,742062978,,,J2005015294406,
42,PIJEN I. ANA INTREPRINDERE INDIVIDUALA,32649333,401.00042,RO,IS,IASI,"STR. HATMAN SENDREA, NR. 9 ,TRONSON 2",,,747950375,,,F2014000040225,
43,AUTO TYME S.R.L.,RO22476928,401.00043,RO,IS,IASI,"STR. EMIL ALEXANDRESCU, NR. 13",,,,,,J22/2697/2007,
44,DIAC MARIAN PERSOANA FIZICA AUTORIZATA,RO21488240,401.00044,RO,IS,MIROSLAVA,SAT MIROSLAVA COM. MIROSLAVA,,,741102180,,,F22/390/2007,
45,CIUBOTARIU MIHAI INTREPRINDERE INDIVIDUALA,RO25613752,401.00045,RO,IS,MOGOSESTI,SAT MOGOSESTI,RO04BRDE240SV49724992400,BANCA ROMANA DE DEZVOLTARE,742669993,ciubotariu.mihai1970@gmail.com,,F2009001613226,
46,DIRECTIA GENERALA REGIONALA A FINANTELOR PUBLICE IASI,RO15733360,401.00046,RO,IS,IASI,"STR. ANASTASIE PANU, NR. 26",,,213332,,,,
47,DELGAZ GRID,RO10976687,401.00047,RO,MS,TARGU MURES,"BLD. PANDURILOR, NR. 42",,,365403321,,,J2000000326265,
48,BES-TEAM-VOYAGE S.R.L.,RO41807122,401.00048,RO,IS,MIROSLAVA,"STR. PRINCIPALA, NR. 28",,,,,,J22/3307/2019,
49,GAGEA V. GHEORGHE INTREPRINDERE INDIVIDUALA,32626020,401.00049,RO,IS,MIROSLAVA,"STR. PRUNILOR, NR. 8",,,744265506,,,F22/4/2014,
50,KAUFLAND ROMANIA SCS,RO15991149,401.0005,RO,B,BUCURESTI SECTOR 2,"STR. BARBU VACARESCU, NR. 120-144",,,372090003,,,J2003017052408,
51,COMERCIAL INSTALATII S.R.L.,39415879,401.00051,RO,IS,CIUREA,"STR. MUGURILOR, NR. 2",,,,,,J22/1406/2018,
52,BSG INVEST OIL SRL,RO36319770,401.00052,RO,IS,TOMESTI,"STR. IASOMIEI, NR. 2A",,,,,,J2016001634221,
53,PRO TYRE AUTO SERVICE SRL,RO48041064,401.00053,RO,IS,IASI,"STR. FRUMOASA, NR. 3",,,740584558,,,J22/1341/2023,
54,S.C. SERVICE COSO GARAJ SRL,RO27835860,401.00054,RO,IS,MIROSLAVA,"STR. CONSTANTIN LANGA, NR. 72",RO46INGB0000999901940859,ING BANK ROMANIA,,,,J22/1741/2010,
55,MOG IDEAL SRL,RO37085197,401.00055,RO,IS,IASI,"STR. LT. CARANDA, NR. 20 ,CAMERA NR. 3",,,,,,J2017000370228,
56,BIANCA TIRES 2010 S.R.L.,RO40307919,401.00056,RO,TR,VIDELE,"STR. PLANTELOR, NR. 88",,,,,,J34/887/2018,
57,TAHANY CONSTRUCT SRL,RO22282247,401.00057,RO,IS,IASI,"SOS. IASI - UNGHENI, ,ZONA DANCU",,,212505,,,J22/2332/2007,
58,JUMBO EC.R SRL,RO18921652,401.00058,RO,B,BUCURESTI SECTOR 3,"BLD. THEODOR PALLADY, NR. 51 ,CLADIREA CENTRUL DE CALCUL. ETAJ 5. CAMERA 502",,,213156100,,,J2013007122406,
59,AUTOPIT SRL,RO24640457,401.00059,RO,IS,IASI,"SOS. BUCIUM, NR. 8A",,,744317580,,,J22/3159/2008,
60,CUSTOM YARD LTD S.R.L.,46496752,401.0006,RO,IS,IASI,"CAL. CHISINAULUI, ,KM. 1, CAMERA 2",,,,,,J22/2664/2022,
61,DELKO OIL S.R.L.,RO39994452,401.00061,RO,IS,TOMESTI,",LOT I. NR. CADASTRAL 67685-C4",,,,,,J2018002723223,
62,ORMI EXTRACT SRL,RO46537518,401.00062,RO,IS,IASI,"STR. GRIGORE URECHE, NR. 3 ,MEZANIN. LA AVOCAT ROTARU DANIELA",,,,,,J2022002770220,
63,LUMINI DECO S.R.L.,39027567,401.00063,RO,IS,IASI,"BLD. ALEXANDRU CEL BUN, NR. 22",,,,,,J2018000649228,
64,SELCRIS HIDRO INSTAL S.R.L.,39021041,401.00064,RO,IS,IASI,"STR. LIBERTATII, NR. 60",,,,,,J2018000640229,
65,S.C. ATCA SOLUTIONS SRL,RO35328710,401.00065,RO,B,BUCURESTI SECTOR 4,"SOS. OLTENITEI, NR. 133 ,CAMERA 1",RO58BTRLRONCRT0576072301,BANCA TRANSILVANIA,743153701,iordachemary@gmail.com,,J2015015223409,
66,BM PARTS SRL,RO43439620,401.00066,RO,IS,VALEA LUPULUI,"STR. COACAZELOR, NR. 2",RO68INGB0000999910984161,CONT ING BANK NV IN RON,40771116193,office@bmparts.ro,,J2020003084227,
67,FLOWERS BY NOE SRL,RO39741913,401.00067,RO,NT,DULCESTI,"STR. TEILOR, NR. 63",RO27BACX0000001704543001,UNICREDIT BANK SA,773724140,,,J27/770/2018,
68,BACIU OANA-MARIA PERSOANA FIZICA AUTORIZATA,RO27166120,401.00068,RO,IS,MIROSLAVA,SAT VALEA URSULUI COM. MIROSLAVA,,,,,,F22/2079/2010,
69,METRICAROM 23 INVEST CONSTRUCT S.R.L.,RO47990281,401.00069,RO,IS,IASI,"STR. NICOLINA, NR. 3",,,747065241,,,J2023001239220,
70,ROMPETROL DOWNSTREAM SRL,RO12751583,401.0007,RO,B,BUCURESTI SECTOR 1,"PTA. PRESEI LIBERE, NR. 3-5 ,CITY GATE NORTHERN TOWER",,,,,,J2000001716405,
71,ALIXERO KD S.R.L.,RO41809700,401.00071,RO,IS,MIROSLAVA,"STR. VECHE, NR. 1",,,,,,J2019003323221,
72,CRETU GABRIELA LENUTA INTREPRINDERE INDIVIDUALA,31137530,401.00072,RO,IS,MIROSLAVA,"STR. NUCILOR, NR. 24",,,748904467,,,F22/161/2013,
73,ALLIANZ - TIRIAC ASIGURARI SA,RO6120740,401.00073,RO,B,BUCURESTI SECTOR 1,"STR. BUZESTI, NR. 82-94 ,ETAJELE 3. 4. 12 SI SPATIUL MAGAZINULUI CONCEPT DE LA PARTERUL CLADIRII",,,212082299,,,J1994015882405,
74,LUDMIN SRL,RO1941892,401.00074,RO,IS,BUTEA,Morii Nr.1,RO20BRDE240SV08556902400,BANCA ROMANA DE DEZVOLTARE,729005535,,,J22/1309/1992,
75,CHISLEA TIBERIU,1.94041E+12,401.00075,RO,IS,IASI,"Nicolina nr.3, bloc A1, SC A, ET.3, AP.12",,,,,,,
76,1 A.C.S.I.S. ABSOLUT S.R.L.,RO28272994,401.00076,RO,IS,IASI,"SOS. NATIONALA, ,COMPLEX COMERCIAL PODUL DE PIATRA, CF NR. 4114, CAMERA 2",,,232216412,usy@usy.ro,,J22/625/2011,
77,ALTEX ROMANIA SRL,RO2864518,401.00077,RO,IF,VOLUNTARI,"SOS. BUCURESTI NORD, NR. 10 ,CLADIREA GLOBAL CITY BUSINESS PARK. CORPUL O11. ETAJELE 9 SI 10",RO53BRDE450SV01797384500,BANCA ROMANA DE DEZVOLTARE,233210671,,,J23/2611/2016,
78,S.C. IZVORAS SRL,RO1946830,401.00078,RO,IS,IASI,"STR. PLAIESILOR, NR. 1",RO04TREZ4065069XXX006972,Trezorerie operativa Municipiul Iasi,754831476,scizvorassrl@yahoo.ro,,J1992001061227,
79,ACN PIESE UTILAJE S.R.L.,RO33366670,401.00079,RO,B,BUCURESTI SECTOR 4,"BLD. METALURGIEI, NR. 4",RO45TREZ7005069XXX015554,Trezorerie operativa Municipiul Bucuresti,371191734,facturare@acnpieseutilaje.ro,,J2014008168408,
80,SC FAN COURIER EXPRESS SRL,RO13838336,401.0008,RO,B,BUCURESTI SECTOR 2,"SOS. FABRICA DE GLUCOZA, NR. 11C",RO50RZBR0000060005285217,RAIFFEISENBANK ROMANIA.,219336000,,,J2001004014400,
81,ROST CONSTRUCT COM SRL,RO8229329,401.00081,RO,IS,IASI,"BLD. TUTORA, NR. 2",,,232231993,,,J22/394/1996,
82,SAFE WHEELS INVEST SRL,RO24704208,401.00082,RO,IS,IASI,"BLD. C. A. ROSETTI, NR. 8A ,CONSTRUCTIA C1, CAMERA 8",,,746859483,,,J22/3284/2008,
83,LEONTE MIHAELA INTREPRINDERE FAMILIALA,11461573,401.00083,RO,IS,IASI,"ALEEA STRUGURILOR, NR. 24A",,,,,,F22/155/1999,
84,DINAMIC EDIL GENERAL SRL,RO42323384,401.00084,RO,IS,HOLBOCA,"STR. VANTULUI, NR. 36",RO05BTRLRONCRT0543356901,BANCA TRANSILVANIA,744435533,ramfortesrl.r@gmail.com,,J2020000647229,
85,PTK LOGISTIC SRL,RO47912046,401.00085,RO,IS,IASI,"PTA. VOIEVOZILOR, NR. 7",,,747365061,,,J2023001095220,
86,CADRAN INDUSTRIES SRL,RO35844681,401.00086,RO,CJ,CLUJ-NAPOCA,"STR. BEIUSULUI, NR. 1",RO14BTRLRONCRT0342871901,BANCA TRANSILVANIA,754581454,,,J2016001218128,
87,S.C. HANSA-FLEX ROMANIA S.R.L.,RO6597545,401.00087,RO,IF,SAT PANTELIMON PANTELIMON,"BLD BIRUINTEI, NR. 251",,,213155912,rob@hansa-flex.com,,J2003000880230,
88,CASA AUTO S.R.L.,RO8885439,401.00088,RO,IS,IASI,"SOS. PACURARI, NR. 177",RO54TREZ4065069XXX004035,Trezorerie operativa Municipiul Iasi,232272333,,,J22/1469/1996,
89,FOR FUTURE FISERV SRL,RO45443091,401.00089,RO,B,BUCURESTI SECTOR 4,"STR. ALUNISULUI, NR. 133-135 ,PARTER, CAM 3",RO20BTRLRONCRT0631792501,BANCA TRANSILVANIA,770310390,contabilitate@forfuture.ro,,J40/228/2022,
90,PETRICA PNEU SRL,RO15205748,401.0009,RO,IS,LETCANI,SAT LETCANI COM. LETCANI,,,740827066,,,J22/213/2003,
91,BORG DESIGN SRL,RO14837428,401.00091,RO,B,BUCURESTI SECTOR 5,"STR. ING. STEFAN HEPITES, NR. 16A ,PARTER",RO36INGB0000999912773805,ING BANK ROMANIA,213106792,contabilitate@borgdesign.ro,,J2002008118400,
92,ROUMASPORT SRL,RO23727785,401.00092,RO,B,BUCURESTI SECTOR 6,"BLD. IULIU MANIU, NR. 546-560 ,HIPERMAGAZIN DECATHLON DIN CADRUL CENTRULUI COMERCIAL MILITARI",RO44BRDE450SV47551494500,BANCA ROMANA DE DEZVOLTARE,757051939,,,J2008006890401,
93,PREMIUM SOLUTION S.R.L.,RO33336997,401.00093,RO,IS,REDIU,",NR. CADASTRAL 1101/7, ETAJ, CAMERA 1",RO82BTRLRONCRT0260584801,BANCA TRANSILVANIA,752625580,costel_lungu@ymail.com,,J22/1057/2014,
94,SC MECADON SRL,RO16081397,401.00094,RO,IS,IASI,"STR. EUDOXIU HURMUZAKI, NR. 9C",RO30BACX0000000583606000,UNICREDIT BANK SA,332417486,office@mecadon.ro,,J2004000102227,
95,GIA PREST SRL,35512682,401.00095,RO,IS,ERBICENI,",VOL. 9, POZITIA 030",RO70RNCB0177171593020001,BANCA COMERCIALA ROMANA,745220036,,,J22/210/2016,
96,TECH-CON INDUSTRY SRL,RO18886172,401.00096,RO,B,DRAGOMIRESTI-VALE,"STR. CARPENULUI, NR. 4 ,CLADIREA A1. UNITATEA A1",RO53BACX0000001073038001,UNICREDIT BANK SA,212219640,office@tech-con.ro,,J40/12130/2006,
97,ANTECA EVALUARI SRL,RO24467349,401.00097,RO,B,BUCURESTI SECTOR 2,"STR. VIESPARILOR, NR. 26 ,CAMERA 2",RO62BTRL04101202L77618XX,BANCA TRANSILVANIA,722380376,,,J40/15726/2008,
98,E-AUTOPARTS EUROPA SRL,RO32372789,401.00098,RO,AR,ARAD,"COL. CAMPUL ALBINELOR, NR. 21",RO73 BACX 0000 0009 4673 2001,UNICREDIT BANK SA,377100941,,,J2013001129025,
99,BCR LEASING IFN SA,RO13795308,401.00099,RO,B,BUCURESTI SECTOR 6,"SOS. ORHIDEELOR, NR. 15D ,CLADIREA THE BRIDGE 1. ETAJ 3. CAMERELE E3.L02- E3.L14",,,213237310,www.bcr-leasing.ro; e-mail: office@bcr-leasing.ro,,J2001003213400,
100,ING BANK N.V. AMSTERDAM - SUCURSALA BUCURESTI,RO6151100,401.001,RO,B,BUCURESTI SECTOR 1,"STR. AV. POPISTEANU, NR. 54A ,EXPO BUSINESS PARK. CLADIREA 3",RO79INGB0001008163012001,ING BANK ROMANIA,212221600,,,J1994016100409,
101,SWEET BLANCA SRL,RO26640003,401.00101,RO,IS,IASI,"BLD. POITIERS, NR. 39",,,742215995,,,J22/357/2010,
102,COSTUD TRANS SRL,RO38381913,401.00102,RO,IS,IASI,"SOS. NATIONALA, NR. 47 ,CAMERA NR. 1",,,,,,J22/3246/2017,
103,CARREFOUR ROMANIA SA,RO11588780,401.00103,RO,B,BUCURESTI SECTOR 2,"STR. GARA HERASTRAU, NR. 4C ,GREEN COURT BUCHAREST. CLADIREA B",,,212067423,,,J2007007766403,
104,ROACONSTRUCT S.R.L.,RO33735815,401.00104,RO,VS,VASLUI,"STR. SOSEAUA NATIONALA, NR. 78",RO22RNCB0501143509030001,BANCA COMERCIALA ROMANA,754903973,,,J37/352/2014,
105,POLUS SRL,16177344,401.00105,RO,IS,IASI,"STR. HLINCEA, NR. 34",,,,,,J22/362/2004,
106,RADER PROFILE SRL,RO27901468,401.00106,RO,IS,HOLBOCA,"CAL. CRISTESTI, NR. 79A ,PARTER",RO76RZBR0000060023294545,RAIFFEISENBANK ROMANIA.,725263273,,,J22/50/2011,
107,EKS LKW PIESE AUTO S.R.L.,RO36484785,401.00107,RO,B,BUCURESTI SECTOR 5,"SOS. VIILOR, NR. 54",RO94BREL0002004441070100,LIBRA INTERNET BANK,745820894,office@eurokolben.ro,,J2016011620407,
108,BEAUTIFUL COM PROD SRL,RO8793866,401.00108,RO,SV,MARGINEA,"COM. MARGINEA, NR. 876A",RO98BRDE340SV03294203400,BANCA ROMANA DE DEZVOLTARE,740150697,mariamihalescu570@yahoo.com,,J1996000779338,
109,ALISAN SRL,RO5604903,401.00109,RO,IS,HOLBOCA,"STR. DALIEI, NR. 56",,,232293011,,,J1994001108221,
110,AUTO BITAHO 23 S.R.L.,RO43475380,401.0011,RO,IS,IASI,"STR. MIRCEA CEL BATRAN, NR. 1",RO10TREZ4065069XXX027331,Trezorerie operativa Municipiul Iasi,,,,J22/3180/2020,
111,MAIRON GALATI SA,RO6581999,401.00111,RO,GL,GALATI,"STR. DRUMUL DE CENTURA, NR. 59",RO03BRDE180SV03955671800,BANCA ROMANA DE DEZVOLTARE,236471410,,,J1994003127178,
112,ACCENT DETAIL SRL,RO46492297,401.00112,RO,GL,GALATI,"STR. GALATII NOI, NR. 1",RO87BACX0000002344083000,UNICREDIT BANK SA,740854157,,,J17/1260/2022,
113,CNPR BUCURESTI 8 OF,RO427410,401.00113,RO,B,BUCURESTI SECTOR 2,"BLD. DACIA, NR. 140 ,ET. 3-11",RO86BTRL04501202E8472401,BANCA TRANSILVANIA,213193001,,,J40/8636/1998,
114,ALANIC MOTOR IMPORT-EXPORT SRL,RO36693870,401.00114,RO,PH,PLOPENI,"STR. PRIMAVERII, NR. 1A",RO55BRDE300SV48004053000,BANCA ROMANA DE DEZVOLTARE,742138771,GABELU11@YAHOO.COM,,J29/1931/2016,
115,S.C. MOLDOCAR S.R.L.,RO6402767,401.00115,RO,IS,IASI,"ALEEA MIHAIL SADOVEANU, NR. 44P",RO80RNCB0175033617760001,BANCA COMERCIALA ROMANA,0744706928/074462604,moldocar_iasi@yahoo.com,,J1994002442223,
116,NECHITA V. RALUCA - CABINET INDIVIDUAL DE PSIHOLOGIE,23505797,401.00116,RO,IS,IASI,"STR. HATMAN SENDREA, NR. 21",RO56RZBR0000060019072301,RAIFFEISENBANK ROMANIA.,729083961,ralucanechita08@gmail.com,,,
117,MEGA IMAGE SRL,RO6719278,401.00117,RO,B,BUCURESTI SECTOR 6,"BLD. TIMISOARA, NR. 26",,,212246677,,,J1994027872407,
118,FEROCRIS S.R.L.,RO8797027,401.00118,RO,IS,IASI,"STR. PACURARI, NR. 128-130",,,744515307,,,J1996001250221,
119,CIOBANU-BACIU NICOLETA-PARASCHIVA PERSOANA FIZICA AUTORIZATA,39261699,401.00119,RO,IS,IASI,"BLD. POITIERS, NR. 73",,,,,,F22/580/2018,
120,ENERGYTECH  ENGINEERING SRL,37197247,401.0012,RO,B,BUCURESTI SECTOR 4,"STR. LUICA, NR. 37",RO65BTRLRONCRT0615469501,BANCA TRANSILVANIA,767955606,iulian_ng@yahoo.com,,J2017003209402,
121,OMCER STAND SRL,RO27660092,401.00121,RO,IS,IASI,"STR. BULARGA, NR. 12 ,SPATIU COMERCIAL",,,723219961,,,J22/1485/2010,
122,ATCA SERVICES S.R.L.,51439478,401.00122,RO,B,BUCURESTI SECTOR 5,"BLD. PROF.DR. GHEORGHE MARINESCU, NR. 3 ,CAMERA 5",RO49BTRLRONCRT0CX3730501,BANCA TRANSILVANIA,745633277,IORDACHEMARY@GMAIL.COM,,J2025017810000,
123,BUDNEA RADU,1.97061E+12,401.00123,RO,IS,,"Comuna Golaesti, sat Petresti",,,,,,,
124,SC DIATOOLS SRL,RO10846954,401.00124,RO,PH,CAMPINA,"STR. LT.COL. EROU OPRESCU ADRIAN, NR. 26A",RO90RZBR0000060003923684,RAIFFEISENBANK ROMANIA.,723671111,,,J29/855/1998,
125,TOP LEVEL AUTO SRL,32157721,401.00125,RO,IS,IASI,"STR. POMPEI, NR. 10A",RO82BTRLRONCRT0224268001,BANCA TRANSILVANIA,40745900200,toplevelauto@yahoo.com,,J2013001441224,
126,BRD SOGELEASE IFN S.A.,RO14080565,401.00126,RO,B,BUCURESTI SECTOR 1,"BLD. ION MIHALACHE, NR. 1-7",RO30BRDE450SV00992744500,BANCA ROMANA DE DEZVOLTARE,40213014848,brd.sogelease@brd.ro,,J2001006764404,
127,OCTANO DOWNSTREAM SRL,RO38075752,401.00127,RO,B,BUCURESTI SECTOR 1,"STR. TIPOGRAFILOR, NR. 31A ,BIROUL NR. 1",,,,,,J2017014080401,
128,OFICIUL NATIONAL AL REGISTRULUI COMERTULUI,14942091,401.00128,RO,B,BUCURESTI SECTOR 3,"BLD. UNIRII, NR. 74",,,3160809,,,,
129,ADDACOR SRL,RO10248519,401.00129,RO,IS,IASI,"STR. AL. O. TEODOREANU, NR. 53A",RO83INGB0000999905046424,ING BANK ROMANIA,745659185,addacor@yahoo.com,,J22/178/1998,
130,HIDROMOLD S.R.L.,RO16130627,401.0013,RO,IS,IASI,"STR. AUREL VLAICU, NR. 78 ,CONSTRUCTIA INDUSTRIALA SI EDILITARA C2 SI CONSTRUCTIA ANEXA C1",RO57BRMA112000025449RO01,EXIM BANCA ROMANEASCA,744185242,office@hidromold.ro,,J22/241/2004,
131,K.Z.MIXTEST SRL,1963807,401.00131,RO,IS,IASI,"STR. PANTELIMON HALIPA, NR. 13",,,788303246,,,J22/1198/1992,
132,SMART OIL SRL,RO20462560,401.00132,RO,IS,POPRICANI,NR. CORP C1,,,727884934,,,J22/76/2007,
133,G.M.D.INTERNATIONAL SRL,RO6499679,401.00133,RO,IS,IASI,"STR. EMIL RACOVITA, NR. 19",,,722623185,,,J22/2318/1994,
134,GROUPAMA ASIGURARI S.A.,6291812,401.00134,RO,B,BUCURESTI SECTOR 1,"STR. MIHAI EMINESCU, NR. 45",,,720220892,,,J40/2857/2010,
135,OLX ONLINE SERVICES SRL,RO22457535,401.00135,RO,B,BUCURESTI SECTOR 1,"SOS. NICOLAE TITULESCU, NR. 4-8 ,CLADIREA AMERICA HOUSE - ARIPA DE VEST",RO92BACX100000900023OLX0,UNICREDIT BANK SA,723660586,,,J2011001674400,
136,TEHNO PLUS SRL,RO14773669,401.00136,RO,IS,IASI,"STR. PRIMAVERII, NR. 19",RO91BACX0000003011890001,UNICREDIT BANK SA,744668730,,,J2002000762227,
137,APAN MOTORS IASI SRL,RO50237063,401.00137,RO,BR,BRAILA,",DN 22B. KM.4+270. CORP C1. BIROU 1",RO73BACX0000002692150001,UNICREDIT BANK SA,239617100,bmw@apan.ro,,J2024000389091,
138,INTERAUTO DISTRIBUTION SOCIETATE CU RASPUNDERE LIMITATA,RO51692232,401.00138,RO,NT,ROMAN,"STR. MIHAI VITEAZU,",,,758221223,,,J2025029841007,
