Pagina;Furnizor;CIF Furnizor;Client;Data;Nr. document;Cod produs;Nume produs;Cantitate;UM;Pret unitar (net);Valoare (net);TVA;Total;Cont contabil;Observatii
7;FLOWERS BY NOE SRL;;METRICAROM 23 INVEST CONSTRUCT SRL (RO47990281);24.03.2026;Factura FLO 02323;;(descriere taiata in scan);1;buc;5800.00;5800.00;1218.00;7018.00;6231;FACTURA, nu bon fiscal. Sumele mari + furnizor "flowers" sugereaza protocol/cadouri. Descrierea produsului nu e vizibila - de verificat (poate fi si 6588)
7;FLOWERS BY NOE SRL;;METRICAROM 23 INVEST CONSTRUCT SRL (RO47990281);24.03.2026;Factura FLO 02323;;(descriere taiata in scan);1;buc;453.72;453.72;95.28;549.00;6231;Idem - descrierea produsului nu e vizibila
8;INDEXTECH SRL;;METRICAROM 23 INVEST CONSTRUCT SRL (RO47990281);18.02.2026;Factura IND/20260231;;(descriere partial vizibila);1;Buc;46.28;46.28;9.72;56.00;604;Descriere partial taiata pe scan
8;INDEXTECH SRL;;METRICAROM 23 INVEST CONSTRUCT SRL (RO47990281);18.02.2026;Factura IND/20260231;;(descriere partial vizibila);4;Buc;10.74;42.97;9.03;52.00;604;Descriere partial taiata pe scan
8;INDEXTECH SRL;;METRICAROM 23 INVEST CONSTRUCT SRL (RO47990281);18.02.2026;Factura IND/20260231;;(probabil ulei motor 40 1L);4;Buc;25.62;102.48;21.52;124.00;604;Descriere partial taiata - "...40 1l" vizibil
8;INDEXTECH SRL;;METRICAROM 23 INVEST CONSTRUCT SRL (RO47990281);18.02.2026;Factura IND/20260231;;Bujie DEN W20EP-U;1;Buc;11.57;11.57;2.43;14.00;604;Piesa auto - posibil 6024
9;INDEXTECH SRL;;METRICAROM 23 INVEST CONSTRUCT SRL (RO47990281);06.03.2026;Factura IND/20260346;15.350;(descriere taiata - retur);-1;Buc;514.05;-514.05;-107.95;-622.00;604;CANTITATE NEGATIVA = retur. Descrierea taiata
9;INDEXTECH SRL;;METRICAROM 23 INVEST CONSTRUCT SRL (RO47990281);06.03.2026;Factura IND/20260346;15.400;Disc diamantat EC;1;Buc;647.93;647.93;136.07;784.00;604;
10;INDEXTECH SRL;;METRICAROM 23 INVEST CONSTRUCT SRL (RO47990281);10.03.2026;Factura IND/20260367;;(set cu TS50 si SJJ1 - inceput taiat);1;Buc;1300.00;1300.00;273.00;1573.00;604;Descriere partial vizibila. Daca este aparat durabil, poate 303
10;INDEXTECH SRL;;METRICAROM 23 INVEST CONSTRUCT SRL (RO47990281);10.03.2026;Factura IND/20260367;;Manusi protectie nylon -PX300 M9;24;Buc;3.72;89.28;18.75;108.03;604;EPP - posibil 6028
10;INDEXTECH SRL;;METRICAROM 23 INVEST CONSTRUCT SRL (RO47990281);10.03.2026;Factura IND/20260367;D-63476;Flap disc A40/125x22.23 mm;2;Buc;8.26;16.52;3.47;19.99;604;
11;STEFANA SRL;;METRICAROM 23 INVEST CONSTRUCT SRL (RO47990281);16.03.2026;Factura IS_STE_D 6999;5B16;JACHETA PILOT ALASKA;2;BUC;235.54;471.08;98.92;570.00;604;EPP - posibil 6028 (echipament protectie)
11;STEFANA SRL;;METRICAROM 23 INVEST CONSTRUCT SRL (RO47990281);16.03.2026;Factura IS_STE_D 6999;5A48;BOCANC DALAS;1;PER;78.51;78.51;16.49;95.00;604;EPP - posibil 6028
11;STEFANA SRL;;METRICAROM 23 INVEST CONSTRUCT SRL (RO47990281);16.03.2026;Factura IS_STE_D 6999;;REDUCERE;-1;-;38.47;-38.47;-8.08;-46.55;604;Reducere aplicata pe articolele de mai sus
12;UNIX AUTO SRL;RO10542416;METRI CARE CONSTRUCT SRL (CIF 38651871);26.03.2026;Factura IA26/1470;11230460;Ulei motor VALVOLINE 908776;2;Buc;27.96;55.92;11.74;67.66;604;ATENTIE: CLIENT DIFERIT (nu METRICAROM 23 INVEST). Posibil 6024
12;UNIX AUTO SRL;RO10542416;METRI CARE CONSTRUCT SRL (CIF 38651871);26.03.2026;Factura IA26/1470;129414;Acumulator (Baterie) VARTA 580406074K262;1;Buc;482.48;482.48;101.32;583.80;604;ATENTIE: CLIENT DIFERIT. Posibil 6024 (piese auto)
13;STEFANA SRL;;METRICAROM 23 INVEST CONSTRUCT SRL (RO47990281);18.03.2026;Factura IS_STE_D 7035;A8007;MANUSA PETRAX;12;PER;8.02;96.20;20.20;116.40;604;EPP - posibil 6028
13;STEFANA SRL;;METRICAROM 23 INVEST CONSTRUCT SRL (RO47990281);18.03.2026;Factura IS_STE_D 7035;45D2;Antifoane externe Stille;1;BUC;22.31;22.31;4.69;27.00;604;EPP - posibil 6028
13;STEFANA SRL;;METRICAROM 23 INVEST CONSTRUCT SRL (RO47990281);18.03.2026;Factura IS_STE_D 7035;5B143;Jacheta softshell hi-vis VizLite;2;BUC;107.44;214.88;45.12;260.00;604;EPP - posibil 6028
13;STEFANA SRL;;METRICAROM 23 INVEST CONSTRUCT SRL (RO47990281);18.03.2026;Factura IS_STE_D 7035;;Manopera imprimat sigla mare;2;BUC;20.66;41.32;8.68;50.00;628;Manopera = serviciu, deci 628 in loc de 604
13;STEFANA SRL;;METRICAROM 23 INVEST CONSTRUCT SRL (RO47990281);18.03.2026;Factura IS_STE_D 7035;;Manopera imprimat sigla mica;2;BUC;8.02;16.03;3.37;19.40;628;Manopera = serviciu
13;STEFANA SRL;;METRICAROM 23 INVEST CONSTRUCT SRL (RO47990281);18.03.2026;Factura IS_STE_D 7035;;REDUCERE;-1;-;23.34;-23.34;-4.90;-28.24;604;
14;-;-;-;-;-;-;PAGINA GOALA / NELIZIBILA;-;-;-;-;-;-;-;Pagina 14 a PDF-ului apare alba/foarte stearsa - de rescanat
15;ADDACOR SRL;RO10248519;METRICAROM 23 INVEST CONSTRUCT SRL (RO47990281);18.03.2026;Factura IS ADD33896;;FURTUN R2AT - 5/8" L=2.4m;1;BUC;255.00;255.00;53.55;308.55;604;
15;ADDACOR SRL;RO10248519;METRICAROM 23 INVEST CONSTRUCT SRL (RO47990281);18.03.2026;Factura IS ADD33896;;REP.FURTUN R2AT - 5/8";1;BUC;55.00;55.00;11.55;66.55;604;Reparatie - posibil 611 (intretinere) daca se considera serviciu
15;ADDACOR SRL;RO10248519;METRICAROM 23 INVEST CONSTRUCT SRL (RO47990281);18.03.2026;Factura IS ADD33896;;SPIRALA PVC FURTUN DN25;2.50;ML;15.00;37.50;7.88;45.38;604;
16;UNIX AUTO SRL;RO10542416;METRICAROM 23 INVEST CONSTRUCT SRL (RO47990281);25.03.2026;Factura IA26/1459;11085281;Curea cu caneluri A.Z. MEISTERTEILE AZMT-20-03;1;Buc;65.06;65.06;13.66;78.72;604;Piesa auto - posibil 6024
17;HANSA-FLEX Romania SRL;RO6597545;METRICAROM 23 INVEST CONSTRUCT SRL (RO47990281);05.03.2026;Factura HF/1440191436;84812010;Fisa cuplaj conector FS IGR3/4" BG3 (SKS20IR3FS);1;buc;152.73;152.73;32.07;184.80;604;
18;INDEXTECH SRL;;METRICAROM 23 INVEST CONSTRUCT SRL (RO47990281);05.03.2026;Factura IND/20260345;715.350;(descriere taiata);1;Buc;514.05;514.05;107.95;622.00;604;Descriere partial taiata pe scan
18;INDEXTECH SRL;;METRICAROM 23 INVEST CONSTRUCT SRL (RO47990281);05.03.2026;Factura IND/20260345;2608619768;Disc taiere;7;Buc;2.07;14.49;3.04;17.53;604;
18;INDEXTECH SRL;;METRICAROM 23 INVEST CONSTRUCT SRL (RO47990281);05.03.2026;Factura IND/20260345;D-63476;Flap disc A40/125x22.23 mm;2;Buc;8.26;16.52;3.47;19.99;604;
18;INDEXTECH SRL;;METRICAROM 23 INVEST CONSTRUCT SRL (RO47990281);05.03.2026;Factura IND/20260345;;Bujie DEN W20EP-U;2;Buc;11.57;23.14;4.86;28.00;604;Posibil 6024
18;INDEXTECH SRL;;METRICAROM 23 INVEST CONSTRUCT SRL (RO47990281);05.03.2026;Factura IND/20260345;;Sfoara demaror 4mm;9;Buc;3.01;27.09;5.69;32.78;604;
19;CARBOTECH SRL;;METRICAROM 23 INVEST CONSTRUCT SRL (RO47990281);05.03.2026;Factura CARB/100260;;(UM 185Li3) (LiCa2-Total) - probabil unsoare/lubrifiant;12;Buc;16.00;192.00;40.32;232.32;604;Descriere partial taiata pe scan
19;CARBOTECH SRL;;METRICAROM 23 INVEST CONSTRUCT SRL (RO47990281);05.03.2026;Factura CARB/100260;;(3.48 Kg) - descriere principala taiata;1;Buc;52.00;52.00;10.92;62.92;604;Descriere partial taiata pe scan
19;CARBOTECH SRL;;METRICAROM 23 INVEST CONSTRUCT SRL (RO47990281);05.03.2026;Factura CARB/100260;;(descriere taiata);1;Buc;14.00;14.00;2.94;16.94;604;Descriere taiata pe scan
20;STEFANA SRL;;METRICAROM 23 INVEST CONSTRUCT SRL (RO47990281);02.03.2026;Factura IS_STE_D 6936;;(probabil JACHETA PILOT ALASKA 5B16 - acelasi pret unitar 235.54);3;BUC;235.54;706.61;148.39;855.00;604;Descriere partial taiata. Inferenta din pretul unitar identic cu pag.11. EPP - posibil 6028
20;STEFANA SRL;;METRICAROM 23 INVEST CONSTRUCT SRL (RO47990281);02.03.2026;Factura IS_STE_D 6936;;(?COMA CQVATACAM2 - descriere taiata);1;BUC;140.50;140.50;29.50;170.00;604;Descriere taiata pe scan
20;STEFANA SRL;;METRICAROM 23 INVEST CONSTRUCT SRL (RO47990281);02.03.2026;Factura IS_STE_D 6936;;REDUCERE;-1;-;59.30;-59.30;-12.45;-71.75;604;
