cod,denumire,cod_fiscal,analitic,tara,judet,localitate,adresa,cont_banca,banca,tel,email,grupa,reg_com,den_agent
"00054","CONTAKT EXPRESS LOGISTIK SRL","RO33220770","401.00054","RO","TM","","JUD. TIMIS, MUN. TIMISOARA, STR. CIRESULUI, NR.2, CAMERA 4, ET.1, AP.3","","","0722638557","","","J35/1351/2014",""
"00055","SORGETI SRL","RO14936391","401.00055","RO","B","","MUNICIPIUL BUCURESTI, SECTOR 1, STR. ARH.ION MINCU, NR.17, ET.1, AP.4","","","0212324461","","","J40/10067/2002",""
"00056","BUCOVINA TURISM SEVERIN SA","RO717758","401.00056","RO","SV","","JUD. SUCEAVA, MUN. SUCEAVA, STR. ANA IPATESCU, NR.5","","","0230520250","","","J33/216/1991",""
"00057","ASTON COM SA","RO13521523","401.00057","RO","B","","MUNICIPIUL BUCURESTI, SECTOR 1, SOS. NORDULUI, NR.82-92, ET.4, AP.40","","","2328400","","","J40/10329/2000",""
"00058","ICTCM INSTITUTUL DE CERCETARE SI PROIECTARE TEHNOLOGICA PENTRU C","RO385446","401.00058","RO","B","","MUNICIPIUL BUCURESTI, SECTOR 4, SOS. OLTENITEI, NR.103","","","0213323770","","","J40/8256/1991",""
"00059","EURO HOUSE NM S.R.L.","RO7021744","401.00059","RO","MM","","JUD. MARAMURES, MUN. BAIA MARE, STR. VICTORIEI, NR.81","","","0262218232","","","J24/315/1996",""
"00060","EURO PARTS DISTRIBUTION S.R.L.","RO29405223","401.00060","RO","B","","MUNICIPIUL BUCURESTI, SECTOR 4, STR. SLT. EROU IONESCU GHEORGHE, NR.13, BL.136, SC.2, ET.3, AP.72","","","-","","","J40/14300/2011",""
"00061","NASTI MARATON IMPEX S.R.L.","RO3269594","401.00061","RO","B","","MUNICIPIUL BUCURESTI, SECTOR 4, SOS. VITAN BARZESTI, NR.5-7","","","3344092","","","J40/11039/1992",""
"00062","OMV PETROM MARKETING SRL","RO11201891","401.00062","RO","B","","MUNICIPIUL BUCURESTI, SECTOR 1, STR. CORALILOR, NR.22, BL.CLADIREA INFINITY, ET.1, OVAL B","","","-","","","J40/10637/1998",""
"00063","FRAG3D S.R.L.","39634836","401.00063","RO","B","","MUNICIPIUL BUCURESTI, SECTOR 2, STR. LIZEANU, NR.20, CORPUL B (C1), CAMERA 7 DE LA ETAJ","","","","","","",""
"00064","LINDE GAZ ROMANIA SRL","RO8721959","401.00064","RO","TM","","JUD. TIMIS, MUN. TIMISOARA, ALEEA AVRAM IMBROANE, NR.9","","","0256300791","","","J35/1149/1996",""
"00065","MOL ROMANIA PETROLEUM PRODUCTS SRL","RO7745470","401.00065","RO","CJ","","JUD. CLUJ, MUN. CLUJ-NAPOCA, BLD. 21 DECEMBRIE 1989, NR.77, BL.CLADIREA C-D THE OFFICE, ET.1, AP.CAM","","","0264407600","","","J12/729/2000",""
"00066","SOPREX-IMI SA","RO361234","401.00066","RO","B","","MUNICIPIUL BUCURESTI, SECTOR 5, B-DUL NATIUNILE UNITE, NR.4, BL.107A, ET.5-6","","","0213173030","","","J40/328/1991",""
"00067","PROINVEST SRL","RO7679503","401.00067","RO","B","","JUD. TELEORMAN, MUN. ALEXANDRIA, STR. BUCURESTI, BL.714DE, SC.D, ET.1, AP.3","","","421072","","","J34/25/1991",""
"00068","UNICOM S.R.L.","RO1391152","401.00068","RO","TR","","JUD. TELEORMAN, MUN. TURNU MAGURELE, STR. PRAPORGESCU, NR.41","","","0247416157","","","J34/108/1992",""
"00069","DELTA GRUP TYRES SRL","RO32968057","401.00069","RO","B","","MUNICIPIUL BUCURESTI, SECTOR 5, B-DUL PIEPTANARI, NR.84, CAM. 7, PARTER, BL.P7, AP.2","","","0722257944","","","J40/3624/2014",""
"00070","BEBETEI INVESTMENTS GROUP SRL","RO32742199","401.00070","RO","B","","MUNICIPIUL BUCURESTI, SECTOR 2, B-DUL LACUL TEI, NR.62, PARTER, CAMERA 2","","","-","","","J40/1218/2014",""
"00071","ICTCM - CERCETARE SRL","RO35451208","401.00071","RO","B","","MUNICIPIUL BUCURESTI, SECTOR 4, SOS. OLTENITEI, NR.103, PAVILION CERCETARE-PROIECTARE, ETAJ 3, CAM.","","","-","","","J40/630/2016",""
"00072","COMPLEX HOTELIER UNIREA SA","RO10164493","401.00072","RO","IS","","JUD. IASI, MUN. IASI, PTA. UNIRII, NR.5","","","205000","","","J22/89/1998",""
"00073","AMBASADOR MAMAIA S.R.L.","RO1896465","401.00073","RO","CT","","JUD. CONSTANTA, LOC. MAMAIA MUN. CONSTANTA, HOTEL AMBASADOR","","","0241831185","","","J13/1585/1991",""
"00074","ROUMASPORT SRL","RO23727785","401.00074","RO","B","","MUNICIPIUL BUCURESTI, SECTOR 6, B-DUL IULIU MANIU, NR.546-560, BL.CORP 2","","","021408500","","","J40/6890/2008",""
"00075","INTERSPACE S.R.L.","RO13840646","401.00075","RO","DB","","JUD. DAMBOVITA, ORS. PUCIOASA, STR. ION HELIADE RADULESCU, NR.140","","","0213301808","","","J15/88/2001",""
"00076","TOP MOBIL GSM ADDICT SRL","RO34076461","401.00076","RO","PH","","JUD. PRAHOVA, MUN. PLOIESTI, STR. CONSTANTIN BREZEANU, NR.3A, BL.25, SC.A, ET.P, AP.1","","","-","","","J29/186/2015",""
"00077","BUILD CONSTRUCT&CONSULT S.R.L.","RO40696956","401.00077","RO","B","","MUNICIPIUL BUCURESTI, SECTOR 6, STR. BOSTANILOR, NR.1, SC.1, AP.31","","","","","","",""
"00078","MKT CREATIVE EVENTS SRL","RO26643751","401.00078","RO","IF","","JUD. ILFOV, ORS. OTOPENI, STR. LACUL URSULUI, NR.35B","","","0733580833","","","J23/754/2010",""
"00079","MAGNUM HEATING SRL","RO33404978","401.00079","RO","B","","MUNICIPIUL BUCURESTI, SECTOR 3, INTR. INVINGATORILOR, NR.27, CAMERA 1, PARTER","","","0724168359","","","J40/8589/2014",""
"00080","AIKOM INVEST S.R.L.","RO16766463","401.00080","RO","BH","","JUD. BIHOR, MUN. ORADEA, STR. MIHAIL KOGALNICEANU, NR.62","","","0722636500","","","J05/1646/2004",""
"00081","ELVIDRA COM S.R.L.","RO6720787","401.00081","RO","DB","","JUD. DAMBOVITA, ORS. PUCIOASA, STR. PIETEI, BL.SARMIS, AP.PART","","","0245761514","","","J15/1830/1994",""
"00082","MOTEL BUCIUM SRL","RO24881200","401.00082","RO","IS","","JUD. IASI, MUN. IASI, SOS. SOS. IASI - VASLUI KM 12","","","0740023666","","","J22/3679/2008",""
"00083","FALKOR SRL","RO2977428","401.00083","RO","DB","","JUD. DAMBOVITA, MUN. TARGOVISTE, STR. ION HELIADE RADULESCU, NR.8","","","0245632986","","","J15/216/1993",""
"00084","VENTSYS INSTAL SRL","RO30202770","401.00084","RO","B","","MUNICIPIUL BUCURESTI, SECTOR 2, ALEEA TIBISCUM, NR.53, ET.1, AP.6","","","-","","","J40/5605/2012",""
"00085","SIM AUTO TOTAL SERVICE SRL","RO35092058","401.00085","RO","IF","","JUD. ILFOV, ORS. POPESTI-LEORDENI, STR. 1 MAI, NR.25A","","","-","","","J23/3555/2015",""
"00086","LINTECOM S.R.L.","786936","401.00086","RO","SB","","JUD. SIBIU, MUN. SIBIU, STR. PALTINUL, NR.16","","","-","","","J32/774/1991",""
"00087","CASA SANATORIALA A PENSIONARILOR","RO5533543","401.00087","RO","","","JUD. DAMBOVITA, ORS. PUCIOASA, STR. AVRAM IANCU, NR.1","","","0245761706","","","-/-/-",""
"00088","COMAT AUTOBENZ S.R.L.","RO15528455","401.00088","RO","BZ","","JUD. BUZAU, MUN. BUZAU, DN 10 KM 1+885-CAPATUL STR.TRANSILVANIEI","","","0238718919","","","J10/511/2003",""
"00089","REWE (ROMANIA) SRL","RO13348610","401.00089","RO","IF","","JUD. ILFOV, SAT STEFANESTII DE JOS COM. STEFANESTII DE JOS, STR. BUSTENI, NR.7","","","0372128800","","","J23/886/2005",""
"00090","TRANS IVINIS & CO S.R.L.","RO5851237","401.00090","RO","AB","","JUD. ALBA, MUN. SEBES, STR. M.KOGALNICEANU, NR.61","","","025873234","","","J01/644/1994",""
"00091","ROB RALCOM S.R.L.","RO19189726","401.00091","RO","OT","","JUD. OLT, ORS. CORABIA, STR. CEZAR BOLLIAC, NR.48","","","0726752845","","","J28/815/2006",""
"00092","PRAKTIKER ROMANIA S.A.","RO14398713","401.00092","RO","B","","MUNICIPIUL BUCURESTI, SECTOR 6, SPL. INDEPENDENTEI, NR.319 L SI M, ET.1","","","021-2047222","","","J23/89/2002",""
"00093","HALI SRL","RO5414623","401.00093","RO","CL","","JUD. CALARASI, ORS. LEHLIU-GARA, STR. COMPETROL, NR.57","","","0242640925","","","J51/683/1993",""
"00094","EUROGENETIC S.R.L.","RO6218633","401.00094","RO","OT","","JUD. OLT, ORS. BALS, STR. NICOLAE BALCESCU, NR.19, BL.23, SC.3, AP.40","","","0249450340","","","J28/824/1994",""
"00095","MOSEK SRL","RO22643589","401.00095","RO","SB","","JUD. SIBIU, MUN. SIBIU, STR. ECATERINA VARGA, NR.11, AP.CAMERA 3","","","0747222602","","","J32/1779/2007",""
"00096","DECAPA IMPORT EXPORT S.R.L.","RO9868843","401.00096","RO","CJ","","JUD. CLUJ, MUN. CLUJ-NAPOCA, STR. UNIVERSITATII, NR.1","","","0264406333","","","J12/1905/1997",""
"00097","DANTE INTERNATIONAL SA","RO14399840","401.00097","RO","B","","JUD. ILFOV, ORS. VOLUNTARI, SOS. BUCURESTI NORD, NR.15-23, BL.PARC DE BIROURI SWAN, CLADIREA A, ET.4","","","0212038100","","","J40/372/2002",""
"00098","ALUPLAST SYSTEM SRL","RO16125213","401.00098","RO","CJ","","JUD. CLUJ, MUN. CLUJ-NAPOCA, STR. CERNAVODA, NR.5-9 HALA T, ET.P-SUD","","","0744886398","","","J12/462/2004",""
"00099","HILTI ROMANIA S.R.L.","RO17131957","401.00099","RO","B","","MUNICIPIUL BUCURESTI, SECTOR 5, B-DUL TUDOR VLADIMIRESCU, NR.29, ET.3","","","+40 21 352 3000","","","J23/1130/2005",""
"00100","GENERAL BUSINESS SYSTEM SRL","RO3329718","401.00100","RO","B","","MUNICIPIUL BUCURESTI, SECTOR 4, STR. LIVENI, NR.43","","","0214116150","","","J40/15845/1992",""
"00101","MASATTO DISTRIBUTION SRL","RO32100830","401.00101","RO","CJ","","JUD. CLUJ, MUN. CLUJ-NAPOCA, STR. DOROBANTILOR, NR.112, BL.G1, ET.3, AP.42","","","0748634890","","","J12/2036/2014",""
"00102","ARO-PALACE SA","RO1102041","401.00102","RO","BV","","JUD. BRASOV, MUN. BRASOV, BLD. EROILOR, NR.27","","","0268477664","","","J08/13/1991",""
"00103","SMART MANAGEMENT PARTNERS SRL","32203348","401.00103","RO","B","","MUNICIPIUL BUCURESTI, SECTOR 6, DRUMUL SABARENI, NR.24-26, CAMERA 2","","","-","","","J40/10981/2013",""
"00104","DIPET SERVCOM SRL","RO3574920","401.00104","RO","B","","MUNICIPIUL BUCURESTI, SECTOR 3, STR. PERICLE PAPAHAGI, NR.10-14","","","0213454110","","","J40/23335/1992",""
"00105","CALOR SRL","RO3004724","401.00105","RO","B","","MUNICIPIUL BUCURESTI, SECTOR 5, CALEA PROGRESULUI, NR.30-40, AP.BIROUL 2","","","0745076813","","","J40/13176/1991",""
"00106","MEGATECH TRADING & CONSULTING SRL","RO3395444","401.00106","RO","B","","MUNICIPIUL BUCURESTI, SECTOR 1, STR. BUZESTI, NR.61, BL.A6, SC.A, ET.6, AP.39","","","0213127595","","","J40/22605/1992",""
"00107","AUTO RAPTOR SRL","27628199","401.00107","RO","B","","SECTOR 3, B-DUL ENERGETICIENILOR, NR.92-98","","","0722262626","","","J40/10284/2010",""
"00109","MASTER SPORT SRL","RO13446790","401.00109","RO","B","","SECTOR 4, STR. GH. SINCAI, NR.15, BL.5A, SC.A, ET.6, AP.21","","","031105075","","","J40/9392/2000",""
"00110","PINUM DOORS & WINDOWS S.R.L.","RO24230589","401.00110","RO","B","","SECTOR 2, SOS. PIPERA, NR.48, ET.2","","","2333431","","","J40/12717/2008",""
"00111","VILA SANZIANA SRL","RO17711458","401.00111","RO","BV","","JUD. BRASOV, LOC. POIANA BRASOV MUN. BRASOV, VILA SANZIANA,STR.FANTANITA CU BRAD","","","0724372602","","","J08/1591/2005",""
"00112","SEISIM SERV S.R.L.","RO18803010","401.00112","RO","MS","","JUD. MURES, SAT ACATARI COM. ACATARI, DRUMUL D.N. 13, KM. 161+300 STG, VATMAN","","","-","","","J26/1044/2006",""
"00113","ROMSTAL MURES S.R.L.","RO12763600","401.00113","RO","MS","","JUD. MURES, MUN. TARGU MURES, STR. GHEORGHE DOJA, NR.191","","","0265168197","","","J26/143/2000",""
"00114","RAMIRO INVESTMENTS TRADING SRL","RO31390906","401.00114","RO","B","","MUNICIPIUL BUCURESTI, SECTOR 3, STR. VALERIU BRANISTE, NR.56, CAMERA NR.1, BL.A, SC.A, ET.4, AP.10","","","-","","","J40/3614/2013",""
"00115","HOSPITALITY & MARKETING SRL","RO32536024","401.00115","RO","TM","","JUD. TIMIS, MUN. TIMISOARA, STR. 1 DECEMBRIE, NR.94, AP.1","","","-","","","J35/2979/2013",""
"00116","CONTINENTAL HOTELS S.A. BUCURESTI SUCURSALA SIBIU","795608","401.00116","RO","SB","","JUD. SIBIU, MUN. SIBIU, CAL. DUMBRAVII, NR.2-4","","","0269218100","","","J32/1042/1991",""
"00117","INTELLIGENT IT SRL","RO18990059","401.00117","RO","SB","","JUD. SIBIU, MUN. SIBIU, STR. ACILIU, NR.22","","","0724253780","","","J32/1274/2006",""
"00118","OMNIASIG VIENNA INSURANCE GROUP S.A.","14360018","401.00118","RO","B","","MUNICIPIUL BUCURESTI, SECTOR 1, ALEEA ALEXANDRU, NR.51","","","0214057420","","","J40/10454/2001",""
"00119","TURIST SERVICE SRL","RO7709175","401.00119","RO","GR","","JUD. ILFOV, ORS. BRAGADIRU, STR. SPERANTEI, NR.40, ET.1","","","0721368773","","","J52/433/1995",""
"00120","TIRES AND PARTS SRL","RO35056829","401.00120","RO","B","","MUNICIPIUL BUCURESTI, SECTOR 2, STR. DOAMNA GHICA, NR.30, BL.11SUD, SC.1, ET.6, AP.20","","","-","","","J40/11788/2015",""
"00121","ELECTRONIC WORLD SRL","RO21255775","401.00121","RO","B","","MUNICIPIUL BUCURESTI, SECTOR 1, BLD. EXPOZITIEI, NR.2, CLADIREA MCAR (C9), ET.PARTER","","","0722235783","","","J40/4364/2007",""
"00122","CENTRUL MEDICAL AEQUILIBRIUM SRL","37738270","401.00122","RO","B","","MUNICIPIUL BUCURESTI, SECTOR 2, STR. AVRAM IANCU, NR.30, PARTER, AP. 1B","","","-","","","",""
"00123","DIACONU NICOLETA INTREPRINDERE INDIVIDUALA","RO28000817","401.00123","RO","B","","MUNICIPIUL BUCURESTI, SECTOR 5, BLD. PIEPTANARI, NR.9, BL.5, SC.1, ET.4, AP.17","","","0722843718","","","F40/432/2011",""
"00124","CAIROX ROMANIA S.R.L.","RO15646493","401.00124","RO","B","","MUNICIPIUL BUCURESTI, SECTOR 1, SOS. ODAI, NR.307-309, ET.2","","","0318242111","","","J40/10645/2003",""
"00125","MICRO UNIVERSAL SRL","RO16746547","401.00125","RO","B","","MUNICIPIUL BUCURESTI, SECTOR 4, SOS. OLTENITEI, NR.250, BL.148BIS, SC.1, ET.9, AP.33","","","0722224647","","","J40/14481/2004",""
"00126","ZIPPER SRL","RO13013541","401.00126","RO","PH","","JUD. PRAHOVA, MUN. PLOIESTI, STR. MIHAI EMINESCU, NR.22, BL.8, SC.C, AP.23","","","0768792793","","","J29/421/2000",""
"00127","RENANIA TRADE SRL","RO8006912","401.00127","RO","MS","","JUD. MURES, MUN. TARGU MURES, STR. BUDIULUI, (CORP C),, NR.68","","","0265-264656","","","J26/822/1995",""
